Starting_gene(s)_symbol	Starting_gene(s)_FBgn	Interacting_gene(s)_symbol	Interacting_gene(s)_FBgn	Interaction_type
?Tub60D	fbgn0003888	pins	fbgn0040080	enhanceable
caup	fbgn0015919	dap	fbgn0010316	enhanceable
magu	fbgn0262169	tkv	fbgn0003716	suppressible
btl|stumps	fbgn0285896|fbgn0020299	CG10321	fbgn0034643	enhanceable
Pten	fbgn0026379	Buffy	fbgn0040491	suppressible
Vps4	fbgn0283469	Ras85D	fbgn0003205	suppressible
SMC3	fbgn0015615	stan	fbgn0024836	suppressible
mop	fbgn0036448	sty	fbgn0014388	suppressible
lz	fbgn0002576	Hsp83	fbgn0001233	enhanceable
wg	fbgn0284084	Hipk	fbgn0035142	suppressible
Ras85D	fbgn0003205	puc	fbgn0243512	suppressible
dsh	fbgn0000499	ex	fbgn0004583	enhanceable
Rac1	fbgn0010333	Sra-1	fbgn0038320	enhanceable
Mer	fbgn0086384	bs	fbgn0004101	suppressible
ft	fbgn0001075	ft::Hsap\FAT4	fbgn0266921	suppressible
vg	fbgn0003975	1297	fbgn0084118	enhanceable
dap	fbgn0010316	CycE	fbgn0010382	enhanceable
Csk	fbgn0262081	ena	fbgn0000578	suppressible
upd1	fbgn0004956	CG32982	fbgn0052982	suppressible
Pc	fbgn0003042	kis	fbgn0266557	suppressible
G9a	fbgn0040372	EcR	fbgn0000546	enhanceable
?3GalTII	fbgn0033315	Hs3st-B	fbgn0031005	enhanceable
Sdc	fbgn0010415	dlp	fbgn0041604	suppressible
nos	fbgn0002962	skl	fbgn0036786	enhanceable
GluRIIA	fbgn0004620	KaiR1D	fbgn0038837	suppressible
Vps26	fbgn0014411	Su(dx)	fbgn0003557	enhanceable
Tg	fbgn0031975	hep	fbgn0010303	suppressible
yeti-MBT	fbgn0042097	spz|tld	fbgn0003495|fbgn0003719	enhanceable
Myc	fbgn0262656	put	fbgn0003169	suppressible
PEK	fbgn0037327	CycE	fbgn0010382	suppressible
slbo	fbgn0005638	btl	fbgn0285896	suppressible
Pc	fbgn0003042	vtd	fbgn0260987	suppressible
sd	fbgn0003345	trx	fbgn0003862	enhanceable
sina	fbgn0003410	ttk	fbgn0003870	suppressible
N	fbgn0004647	A122	fbgn0025723	suppressible
slif	fbgn0037203	hppy	fbgn0263395	suppressible
fz	fbgn0001085	Vang	fbgn0015838	suppressible
robo1	fbgn0005631	robo2	fbgn0002543	enhanceable
crb	fbgn0259685	tai	fbgn0041092	suppressible
babo	fbgn0011300	Snoo	fbgn0085450	suppressible
N	fbgn0004647	eyg	fbgn0000625	suppressible
mod(mdg4)	fbgn0002781	Su(mg)1-9	fbgn0023159	suppressible
pnr	fbgn0003117	cbt	fbgn0043364	enhanceable
peb	fbgn0003053	dpp	fbgn0000490	enhanceable
grn	fbgn0001138	unc-5	fbgn0034013	suppressible
Pi3K92E	fbgn0015279	RpS26	fbgn0261597	enhanceable
Dl	fbgn0000463	Hr38	fbgn0014859	enhanceable
Mical	fbgn0053208	Sox14	fbgn0005612	suppressible
E(z)	fbgn0000629	Pp1-87B	fbgn0004103	suppressible
Pi3K92E	fbgn0015279	RIOK2	fbgn0039306	suppressible
shg	fbgn0003391	l(2)dC9	fbgn0027647	suppressible
sd	fbgn0003345	Bin1	fbgn0024491	suppressible
tau	fbgn0266579	Klp61F	fbgn0004378	enhanceable
baz	fbgn0000163	muskelin	fbgn0033757	enhanceable
wg	fbgn0284084	pan	fbgn0085432	suppressible
vn	fbgn0003984	Egfr	fbgn0003731	suppressible
RpL27A|l(2)gl	fbgn0285948|fbgn0002121	bsk	fbgn0000229	suppressible
par-1	fbgn0260934	tau	fbgn0266579	enhanceable
Psn	fbgn0284421	?Tub23C	fbgn0260639	enhanceable
csw::Src64B	fbgn0016791	dos	fbgn0016794	suppressible
Acsl	fbgn0263120	Kr	fbgn0001325	enhanceable
sc	fbgn0004170	mod(mdg4)	fbgn0002781	suppressible
Raf	fbgn0003079	Src42A	fbgn0264959	suppressible
Bx	fbgn0265598	mir-9a	fbgn0262373	suppressible
pnr	fbgn0003117	tup	fbgn0003896	suppressible
Cdc42	fbgn0010341	CG10082	fbgn0034644	suppressible
aos	fbgn0004569	RpL5	fbgn0064225	enhanceable
Ephrin	fbgn0040324	Reph	fbgn0021800	suppressible
Dref	fbgn0015664	E2f1	fbgn0011766	suppressible
Dl	fbgn0000463	ed	fbgn0000547	enhanceable
fz2	fbgn0016797	fz	fbgn0001085	enhanceable
ttk	fbgn0003870	stg	fbgn0003525	suppressible
Psn	fbgn0284421	AP-1?	fbgn0024833	enhanceable
N	fbgn0004647	Sirt1	fbgn0024291	enhanceable
Nf-YA	fbgn0035993	p53	fbgn0039044	enhanceable
wts	fbgn0011739	sd	fbgn0003345	suppressible
Rac1	fbgn0010333	slpr	fbgn0030018	suppressible
Abd-B|Antp|Scr|Ubx|abd-A	fbgn0000015|fbgn0260642|fbgn0003339|fbgn0003944|fbgn0000014	lab	fbgn0002522	suppressible
rho	fbgn0004635	Egfr	fbgn0003731	enhanceable
pnr	fbgn0003117	EP3140	fbgn0062664	enhanceable
wg	fbgn0284084	polo	fbgn0003124	suppressible
sll	fbgn0038524	hh	fbgn0004644	suppressible
Myc	fbgn0262656	Su(z)2	fbgn0265623	suppressible
G?q	fbgn0004435	Itpr	fbgn0010051	suppressible
Sema1a	fbgn0011259	Fas2	fbgn0000635	enhanceable
Scr	fbgn0003339	M(2)56F	fbgn0286220	suppressible
Rho1	fbgn0014020	pbl	fbgn0003041	suppressible
Egfr	fbgn0003731	spi	fbgn0005672	suppressible
Ret	fbgn0011829	DJ-1?|dj-1?	fbgn0033885|fbgn0039802	suppressible
Mlf	fbgn0034051	N	fbgn0004647	suppressible
pbl	fbgn0003041	Sur-8	fbgn0038504	suppressible
mirr	fbgn0014343	Mob	fbgn0024737	enhanceable
unc-5	fbgn0034013	beat-Ia|eve	fbgn0013433|fbgn0000606	enhanceable
cindr	fbgn0027598	Arf51F	fbgn0013750	enhanceable
Mer	fbgn0086384	crb	fbgn0259685	enhanceable
Raf	fbgn0003079	ER2-1	fbgn0016638	suppressible
ea	fbgn0000533	Tl	fbgn0262473	suppressible
Nf1	fbgn0015269	Alk	fbgn0040505	suppressible
Sdc	fbgn0010415	Sdc::Hsap\PDGFRB	fbgn0283734	suppressible
dia	fbgn0011202	wts	fbgn0011739	suppressible
mid	fbgn0261963	H15	fbgn0016660	enhanceable
dpp	fbgn0000490	Med	fbgn0011655	enhanceable
SH3PX1	fbgn0040475	Dsor1	fbgn0010269	suppressible
Gr5a|Gr61a	fbgn0003747|fbgn0035167	Gr64a	fbgn0045479	suppressible
hpo	fbgn0261456	ena	fbgn0000578	suppressible
Antp	fbgn0260642	ash2	fbgn0000139	enhanceable
Pc	fbgn0003042	gpp	fbgn0264495	enhanceable
Itpr	fbgn0010051	rut	fbgn0003301	enhanceable
run	fbgn0003300	gro	fbgn0001139	suppressible
Ubqn	fbgn0031057	TER94	fbgn0286784	suppressible
w	fbgn0003996	E(w<up>a</up>)761	fbgn0020054	enhanceable
Sk2	fbgn0052484	ifc	fbgn0001941	enhanceable
TSG101	fbgn0036666	Stat92E	fbgn0016917	suppressible
Rbf	fbgn0015799	N	fbgn0004647	suppressible
Dcr-2|Eogt	fbgn0034246|fbgn0264672	Psn	fbgn0284421	suppressible
nmo	fbgn0011817	sgg	fbgn0003371	suppressible
foxo	fbgn0038197	Gyc?100B	fbgn0013973	suppressible
ph-p	fbgn0004861	Hsc70-4	fbgn0266599	enhanceable
Snr1	fbgn0011715	CycE	fbgn0010382	suppressible
Pink1	fbgn0029891	mask	fbgn0043884	suppressible
so	fbgn0003460	Six4	fbgn0027364	suppressible
Tsc1|gig	fbgn0026317|fbgn0005198	Rheb	fbgn0041191	suppressible
w	fbgn0003996	Low	fbgn0011646	enhanceable
Dscam1	fbgn0033159	Pak	fbgn0267698	suppressible
cathD	fbgn0029093	shi	fbgn0003392	enhanceable
nmo	fbgn0011817	dpp	fbgn0000490	enhanceable
corto	fbgn0010313	EloC	fbgn0266711	suppressible
fu	fbgn0001079	kn	fbgn0001319	enhanceable
PlexA	fbgn0025741	Mical	fbgn0053208	suppressible
BG00218	fbgn0263942	trbl	fbgn0028978	enhanceable
flw|puc	fbgn0000711|fbgn0243512	sqh	fbgn0003514	suppressible
gcm	fbgn0014179	robo1	fbgn0005631	enhanceable
Wnt4	fbgn0010453	hep	fbgn0010303	enhanceable
Ptp69D|Ptp10D	fbgn0014007|fbgn0004370	sli	fbgn0264089	enhanceable
brm|trx	fbgn0000212|fbgn0003862	mxc	fbgn0260789	suppressible
CycE	fbgn0010382	RpS6	fbgn0261592	suppressible
Nsf2	fbgn0266464	polo	fbgn0003124	suppressible
Hem	fbgn0011771	SCAR	fbgn0041781	suppressible
Psn	fbgn0284421	opa	fbgn0003002	enhanceable
Fas3	fbgn0000636	RhoGAP68F	fbgn0036257	suppressible
hppy	fbgn0263395	bsk	fbgn0000229	suppressible
in	fbgn0001259	mwh	fbgn0264272	enhanceable
Dp|E2f1	fbgn0011763|fbgn0011766	ksh-17	fbgn0028630	enhanceable
w	fbgn0003996	Pcf11	fbgn0264962	suppressible
spn-D	fbgn0003482	mei-41	fbgn0004367	suppressible
Dronc	fbgn0026404	Diap1	fbgn0260635	suppressible
Ret	fbgn0011829	l(3)S000710	fbgn0084455	enhanceable
lncRNA:roX1	fbgn0019661	dop	fbgn0267390	enhanceable
N	fbgn0004647	Caf1-105	fbgn0033526	enhanceable
wcy	fbgn0030812	Tor	fbgn0021796	suppressible
vn	fbgn0003984	CycG	fbgn0039858	suppressible
Der-1	fbgn0267972	Decay	fbgn0028381	suppressible
Myc	fbgn0262656	run	fbgn0003300	suppressible
fru	fbgn0004652	oaf	fbgn0011818	suppressible
dl	fbgn0260632	Taf1	fbgn0010355	enhanceable
Osbp	fbgn0020626	CG33298	fbgn0032120	suppressible
up	fbgn0004169	Mhc	fbgn0264695	suppressible
tkv	fbgn0003716	fu|Smurf	fbgn0001079|fbgn0029006	suppressible
ey	fbgn0005558	Mpe	fbgn0002790	suppressible
Rho1	fbgn0014020	CE3-1	fbgn0063645	enhanceable
egr	fbgn0033483	slpr::Tak1	fbgn0273453	suppressible
frac	fbgn0035798	beat-Ia	fbgn0013433	suppressible
kat80	fbgn0040207	ttk	fbgn0003870	enhanceable
Bx|ap	fbgn0265598|fbgn0267978	nmd	fbgn0005322	suppressible
Ptp10D|Ptp4E	fbgn0004370|fbgn0004368	Egfr	fbgn0003731	enhanceable
CycE	fbgn0010382	E(Sev-CycE)E44	fbgn0041841	enhanceable
brat	fbgn0010300	E(spl)m?-HLH	fbgn0002735	suppressible
SRm160	fbgn0036340	Doa	fbgn0265998	suppressible
Liprin-?	fbgn0046704	wrd	fbgn0042693	suppressible
shi	fbgn0003392	Sema1a	fbgn0011259	enhanceable
qvr	fbgn0260499	eag	fbgn0000535	enhanceable
rux	fbgn0003302	CycA	fbgn0000404	suppressible
ush	fbgn0003963	tup	fbgn0003896	enhanceable
Fs(3)Apc	fbgn0001027	Atg1	fbgn0260945	suppressible
rho	fbgn0004635	Egfr	fbgn0003731	suppressible
hid	fbgn0003997	TrpA1	fbgn0035934	suppressible
numb	fbgn0002973	N	fbgn0004647	suppressible
lok	fbgn0019686	MESR4	fbgn0034240	suppressible
egr	fbgn0033483	Uev1A	fbgn0035601	suppressible
Dg	fbgn0034072	rt	fbgn0003292	enhanceable
elav	fbgn0260400	elav::Hsap\ELAVL4	fbgn0042648	suppressible
Wnk	fbgn0037098	fray	fbgn0023083	suppressible
rst	fbgn0003285	Dl	fbgn0000463	enhanceable
ninaE	fbgn0002940	Vajk2	fbgn0032538	enhanceable
Rho1	fbgn0014020	p120ctn	fbgn0260799	suppressible
Ras85D|upd1	fbgn0003205|fbgn0004956	dome	fbgn0043903	suppressible
cup	fbgn0000392	Dad	fbgn0020493	enhanceable
LIMK1	fbgn0283712	br	fbgn0283451	enhanceable
pygo	fbgn0043900	CycE	fbgn0010382	suppressible
Ras85D	fbgn0003205	cln	fbgn0015922	suppressible
pnr	fbgn0003117	HDAC1	fbgn0015805	enhanceable
N	fbgn0004647	Nle	fbgn0021874	enhanceable
wun2	fbgn0041087	srp	fbgn0003507	suppressible
pbl	fbgn0003041	Ilp8	fbgn0036690	suppressible
Mad1	fbgn0026326	Sas-4	fbgn0011020	enhanceable
Pvr	fbgn0032006	lilli	fbgn0041111	enhanceable
pnt	fbgn0003118	foxo	fbgn0038197	enhanceable
eya	fbgn0000320	Abl	fbgn0000017	suppressible
mys	fbgn0004657	pio	fbgn0020521	enhanceable
dsh	fbgn0000499	Dl	fbgn0000463	enhanceable
Rac1	fbgn0010333	Abi	fbgn0020510	suppressible
Brd	fbgn0000216	H	fbgn0001169	suppressible
scb	fbgn0286785	wb	fbgn0261563	enhanceable
Timp	fbgn0025879	Fmr1	fbgn0028734	suppressible
Kap-?3	fbgn0027338	Pen	fbgn0267727	suppressible
Ubqn	fbgn0031057	Rpn10	fbgn0015283	suppressible
jus	fbgn0039647	para	fbgn0285944	suppressible
shg	fbgn0003391	ds	fbgn0284247	suppressible
E2f1	fbgn0011766	Su(z)12	fbgn0020887	suppressible
park	fbgn0041100	bsk	fbgn0000229	suppressible
shg	fbgn0003391	Rho1	fbgn0014020	enhanceable
kst	fbgn0004167	crb	fbgn0259685	enhanceable
Awh	fbgn0013751	Chi	fbgn0013764	suppressible
tkv	fbgn0003716	pyd	fbgn0262614	enhanceable
tkv	fbgn0003716	Snoo	fbgn0085450	suppressible
Raf	fbgn0003079	S	fbgn0003310	enhanceable
Cyp18a1	fbgn0010383	ftz-f1	fbgn0001078	suppressible
Neto	fbgn0265416	gbb	fbgn0024234	enhanceable
Egfr	fbgn0003731	Pten	fbgn0026379	enhanceable
Ras85D	fbgn0003205	Bap170	fbgn0042085	enhanceable
enc	fbgn0004875	Cul1	fbgn0015509	enhanceable
scrib	fbgn0263289	puc	fbgn0243512	suppressible
Ret	fbgn0011829	Sin3A	fbgn0022764	enhanceable
lqf	fbgn0028582	Chc	fbgn0000319	enhanceable
ft	fbgn0001075	Tao	fbgn0031030	suppressible
puf	fbgn0039214	ago	fbgn0041171	enhanceable
fh	fbgn0030092	mfrn	fbgn0039561	enhanceable
ouib	fbgn0037618	spo	fbgn0003486	suppressible
Hipk	fbgn0035142	ci	fbgn0004859	enhanceable
dpy	fbgn0053196	chas	fbgn0263258	enhanceable
mbl	fbgn0265487	CG15435	fbgn0031608	suppressible
tor	fbgn0003733	Dsor1	fbgn0010269	suppressible
msk	fbgn0026252	rl	fbgn0003256	suppressible
H	fbgn0001169	S	fbgn0003310	suppressible
cry|norpA	fbgn0025680|fbgn0262738	trp	fbgn0003861	suppressible
spn-B	fbgn0003480	mei-41	fbgn0004367	suppressible
Dys	fbgn0260003	wun	fbgn0016078	suppressible
N	fbgn0004647	kuz	fbgn0259984	suppressible
Chi	fbgn0013764	ap	fbgn0267978	suppressible
E(spl)m?-HLH	fbgn0002735	erm	fbgn0031375	suppressible
Ptp69D	fbgn0014007	sotv	fbgn0029175	enhanceable
tna	fbgn0026160	tara	fbgn0040071	enhanceable
dpp|tsg	fbgn0000490|fbgn0003865	sog	fbgn0003463	suppressible
Dref	fbgn0015664	TAF1C-like	fbgn0034631	suppressible
aurA	fbgn0000147	Wdr62	fbgn0031374	suppressible
Egfr	fbgn0003731	aos	fbgn0004569	suppressible
BicD|stau	fbgn0000183|fbgn0003520	Lis-1	fbgn0015754	suppressible
Dcr-2|Arf51F	fbgn0034246|fbgn0013750	Asap	fbgn0050372	enhanceable
Bx	fbgn0265598	Tnks	fbgn0027508	enhanceable
okr	fbgn0002989	c(2)M	fbgn0028525	enhanceable
Bx	fbgn0265598	skd	fbgn0003415	suppressible
sgg	fbgn0003371	pan	fbgn0085432	suppressible
lncRNA:flam	fbgn0267704	ct	fbgn0004198	enhanceable
ptc	fbgn0003892	wg	fbgn0284084	suppressible
rpr	fbgn0011706	Drice	fbgn0019972	suppressible
lncRNA:roX1	fbgn0019661	Spt5	fbgn0040273	enhanceable
bw	fbgn0000241	HmgD	fbgn0004362	suppressible
Pink1	fbgn0029891	Sod2	fbgn0010213	suppressible
ato	fbgn0010433	hh	fbgn0004644	enhanceable
Mad	fbgn0011648	put	fbgn0003169	enhanceable
kibra	fbgn0262127	Mer	fbgn0086384	enhanceable
B-H1	fbgn0011758	drk	fbgn0004638	suppressible
fzr	fbgn0262699	dco	fbgn0002413	suppressible
ct	fbgn0004198	SMC1	fbgn0040283	suppressible
hop	fbgn0004864	Dsor1	fbgn0010269	suppressible
hid	fbgn0003997	Buffy	fbgn0040491	suppressible
myo	fbgn0026199	Smox	fbgn0025800	suppressible
sgg	fbgn0003371	mor	fbgn0002783	suppressible
4-Sep	fbgn0259923	park	fbgn0041100	enhanceable
spi	fbgn0005672	csw	fbgn0000382	suppressible
shi	fbgn0003392	sesB	fbgn0003360	enhanceable
Csk	fbgn0262081	zip	fbgn0265434	suppressible
sli	fbgn0264089	dock	fbgn0010583	enhanceable
krz	fbgn0040206	nej	fbgn0261617	enhanceable
hep	fbgn0010303	wg	fbgn0284084	suppressible
Ras85D	fbgn0003205	ER2-7A	fbgn0016642	enhanceable
smo	fbgn0003444	E(smoDN)2576	fbgn0083276	enhanceable
robo1	fbgn0005631	Dscam1	fbgn0033159	suppressible
l(2)gl	fbgn0002121	Src42A	fbgn0264959	suppressible
E(z)	fbgn0000629	Scm	fbgn0003334	suppressible
Egfr	fbgn0003731	E(Egfr)B56	fbgn0023224	enhanceable
YME1L	fbgn0034792	Sod2	fbgn0010213	suppressible
ct	fbgn0004198	su(Hw)	fbgn0003567	suppressible
mbl	fbgn0265487	Dp	fbgn0011763	enhanceable
faf	fbgn0005632	aop	fbgn0000097	enhanceable
Vps35	fbgn0034708	Mad	fbgn0011648	suppressible
Bx	fbgn0265598	pnr	fbgn0003117	enhanceable
Myc	fbgn0262656	lid	fbgn0031759	suppressible
csw	fbgn0000382	rho	fbgn0004635	suppressible
step	fbgn0086779	Rho1	fbgn0014020	suppressible
Maf1	fbgn0267861	RpS3	fbgn0002622	suppressible
Dl	fbgn0000463	bs	fbgn0004101	enhanceable
ct|mod(mdg4)	fbgn0004198|fbgn0002781	Su(mg)1-7	fbgn0023161	suppressible
park	fbgn0041100	Marf	fbgn0029870	suppressible
Nlg2	fbgn0031866	Nrx-1	fbgn0038975	enhanceable
Csk	fbgn0262081	puc	fbgn0243512	enhanceable
Bx	fbgn0265598	fng	fbgn0011591	enhanceable
sc	fbgn0004170	e(y)1	fbgn0000617	suppressible
Bx	fbgn0265598	nuf	fbgn0013718	enhanceable
dsh	fbgn0000499	Rho1	fbgn0014020	suppressible
Zip71B	fbgn0036461	Zip102B	fbgn0039902	enhanceable
jub	fbgn0030530	aurA	fbgn0000147	enhanceable
Grx1	fbgn0036820	ATP7	fbgn0030343	enhanceable
net	fbgn0002931	osa	fbgn0261885	enhanceable
bdg	fbgn0034049	pk	fbgn0003090	suppressible
sgg	fbgn0003371	arm	fbgn0000117	suppressible
wntD	fbgn0038134	fz4	fbgn0027342	suppressible
grim	fbgn0015946	DUBAI	fbgn0033738	enhanceable
ct	fbgn0004198	Topors	fbgn0267351	suppressible
pcs	fbgn0033988	Btk29A	fbgn0003502	suppressible
Egfr	fbgn0003731	mir-998	fbgn0262405	suppressible
twin	fbgn0011725	mei-P26	fbgn0026206	suppressible
peb	fbgn0003053	px	fbgn0003175	suppressible
Pxt	fbgn0261987	sn	fbgn0003447	suppressible
mwh	fbgn0264272	gish	fbgn0250823	suppressible
E(var)3-4	fbgn0013250	mod(mdg4)	fbgn0002781	enhanceable
DopEcR	fbgn0035538	dnc	fbgn0000479	suppressible
Csk	fbgn0262081	cpa	fbgn0034577	enhanceable
peb	fbgn0003053	Dl	fbgn0000463	suppressible
d	fbgn0262029	Dlish	fbgn0034264	suppressible
rt	fbgn0003292	tw	fbgn0086368	suppressible
N	fbgn0004647	eK6	fbgn0019822	enhanceable
Lpt	fbgn0263667	trr	fbgn0023518	enhanceable
Pka-C1	fbgn0000273	Su(fu)	fbgn0005355	enhanceable
CycB	fbgn0000405	sced	fbgn0013732	suppressible
Tsc1	fbgn0026317	Tctp	fbgn0037874	suppressible
pbl	fbgn0003041	fray	fbgn0023083	enhanceable
Schip1	fbgn0032221	Tao	fbgn0031030	suppressible
shop	fbgn0030966	Orco	fbgn0037324	enhanceable
dac	fbgn0005677	ey	fbgn0005558	enhanceable
H	fbgn0001169	dpp	fbgn0000490	suppressible
sli	fbgn0264089	capt	fbgn0261458	enhanceable
CycB	fbgn0000405	RPA2	fbgn0032906	suppressible
Mkp3	fbgn0036844	rl	fbgn0003256	suppressible
Ras85D	fbgn0003205	ovo	fbgn0003028	suppressible
shg	fbgn0003391	brm	fbgn0000212	enhanceable
y	fbgn0004034	mod(mdg4)	fbgn0002781	suppressible
pbl	fbgn0003041	Mnn1	fbgn0031885	suppressible
ey	fbgn0005558	toy	fbgn0019650	suppressible
gbb	fbgn0024234	tsg	fbgn0003865	suppressible
sna	fbgn0003448	noc	fbgn0005771	enhanceable
Apc2|Apc|Ras85D	fbgn0026598|fbgn0015589|fbgn0003205	pan	fbgn0085432	suppressible
ci	fbgn0004859	nej	fbgn0261617	suppressible
Hipk	fbgn0035142	ci	fbgn0004859	suppressible
Ret	fbgn0011829	Fak	fbgn0020440	suppressible
egr	fbgn0033483	G56	fbgn0084797	suppressible
pan	fbgn0085432	nmo	fbgn0011817	suppressible
hfp	fbgn0028577	crol	fbgn0020309	enhanceable
Bx|ap	fbgn0265598|fbgn0267978	mir-279	fbgn0262448	suppressible
JIL-1	fbgn0020412	Su(var)3-9	fbgn0263755	suppressible
kuz	fbgn0259984	N	fbgn0004647	enhanceable
h	fbgn0001168	dgrn	fbgn0037384	suppressible
Dref	fbgn0015664	Ykt6	fbgn0260858	enhanceable
daw	fbgn0031461	tok	fbgn0004885	enhanceable
wupA	fbgn0283471	Mhc	fbgn0264695	suppressible
aop	fbgn0000097	ttk	fbgn0003870	enhanceable
EcR	fbgn0000546	Iswi	fbgn0011604	enhanceable
dlg1	fbgn0001624	brm	fbgn0000212	suppressible
ninaE	fbgn0002940	Arl1	fbgn0000115	suppressible
puc	fbgn0243512	scaf	fbgn0033033	enhanceable
Myb	fbgn0002914	bon	fbgn0023097	suppressible
Tlk	fbgn0283657	asf1	fbgn0029094	enhanceable
DCTN1-p150	fbgn0001108	spi	fbgn0005672	suppressible
His1:CG31617	fbgn0051617	bsk	fbgn0000229	suppressible
dom	fbgn0020306	Tudor-SN	fbgn0035121	enhanceable
Raf	fbgn0003079	14-3-3?	fbgn0020238	enhanceable
hep	fbgn0010303	bsk	fbgn0000229	suppressible
gig	fbgn0005198	Madm	fbgn0027497	suppressible
Wdr24	fbgn0027518	Nprl2	fbgn0030800	suppressible
smo	fbgn0003444	E(smoDN)B-right	fbgn0083254	enhanceable
Pfdn2	fbgn0010741	mgr	fbgn0264694	enhanceable
Antp	fbgn0260642	osa	fbgn0261885	suppressible
MAN1	fbgn0034962	dpp	fbgn0000490	suppressible
pyd	fbgn0262614	N	fbgn0004647	suppressible
net	fbgn0002931	Egfr	fbgn0003731	suppressible
ptc	fbgn0003892	smo	fbgn0003444	suppressible
aos	fbgn0004569	Egfr	fbgn0003731	suppressible
DAAM	fbgn0025641	Rac1	fbgn0010333	enhanceable
gro	fbgn0001139	kni	fbgn0001320	enhanceable
Ret	fbgn0011829	scrib	fbgn0263289	enhanceable
mop	fbgn0036448	mys	fbgn0004657	suppressible
bmm	fbgn0036449	Lsd-2	fbgn0030608	suppressible
osk	fbgn0003015	Su(osk)P16	fbgn0020890	suppressible
Jra|kay	fbgn0001291|fbgn0001297	dnc	fbgn0000479	suppressible
so	fbgn0003460	Cpsf100	fbgn0027873	enhanceable
ND-42	fbgn0019957	kdn	fbgn0261955	suppressible
rho	fbgn0004635	rho-5	fbgn0041723	suppressible
bsk|egr	fbgn0000229|fbgn0033483	Tace	fbgn0039734	enhanceable
lz	fbgn0002576	aop	fbgn0000097	enhanceable
foxo	fbgn0038197	usp	fbgn0003964	enhanceable
S2P	fbgn0033656	SREBP	fbgn0261283	enhanceable
Dp|E2f1	fbgn0011763|fbgn0011766	vg	fbgn0003975	suppressible
Pc	fbgn0003042	Dll	fbgn0000157	suppressible
trio	fbgn0024277	Rac2	fbgn0014011	suppressible
w	fbgn0003996	woc	fbgn0010328	suppressible
drl	fbgn0015380	cas	fbgn0004878	enhanceable
Rho1	fbgn0014020	Rab5	fbgn0014010	suppressible
crb	fbgn0259685	SCAR	fbgn0041781	suppressible
Vap33	fbgn0029687	ppk30	fbgn0039677	suppressible
path	fbgn0036007	eIF4E1	fbgn0015218	suppressible
shg	fbgn0003391	sdt	fbgn0261873	suppressible
Det	fbgn0264291	CycB	fbgn0000405	enhanceable
Pax	fbgn0041789	LIMK1	fbgn0283712	suppressible
Itpr	fbgn0010051	bsk	fbgn0000229	suppressible
Tm1	fbgn0003721	E(To)1	fbgn0046125	enhanceable
aop	fbgn0000097	rl	fbgn0003256	enhanceable
Dronc	fbgn0026404	Diap1	fbgn0260635	suppressible
dally	fbgn0263930	CycA	fbgn0000404	suppressible
abd-A	fbgn0000014	grh	fbgn0259211	suppressible
arm	fbgn0000117	tkv	fbgn0003716	suppressible
wg	fbgn0284084	twi	fbgn0003900	suppressible
H	fbgn0001169	sax	fbgn0003317	suppressible
upd1	fbgn0004956	Ras85D	fbgn0003205	suppressible
Dp|E2f1	fbgn0011763|fbgn0011766	brm	fbgn0000212	enhanceable
vito	fbgn0052418	bsk	fbgn0000229	suppressible
fj	fbgn0000658	d	fbgn0262029	enhanceable
Snoo	fbgn0085450	Med	fbgn0011655	suppressible
Pi3K92E|btl::Egfr	fbgn0015279|fbgn0022739	Cdk4	fbgn0016131	suppressible
Lar	fbgn0000464	Liprin-?	fbgn0046704	enhanceable
AMPK?	fbgn0023169	Zw	fbgn0004057	suppressible
yki	fbgn0034970	tai	fbgn0041092	enhanceable
snf	fbgn0003449	Sxl	fbgn0264270	suppressible
shrb	fbgn0086656	aurB	fbgn0024227	suppressible
Fmr1	fbgn0028734	orb2	fbgn0264307	suppressible
run	fbgn0003300	RpL36	fbgn0002579	enhanceable
Fmr1	fbgn0028734	mGluR	fbgn0019985	suppressible
pnr	fbgn0003117	GstS1	fbgn0010226	enhanceable
pbl	fbgn0003041	iPLA2-VIA	fbgn0036053	suppressible
Pi3K59F	fbgn0015277	Buffy	fbgn0040491	enhanceable
ct	fbgn0004198	fus	fbgn0023441	suppressible
ZnT86D	fbgn0037875	Zip88E	fbgn0038312	suppressible
ft	fbgn0001075	wts	fbgn0011739	suppressible
hiw	fbgn0030600	Trpml	fbgn0262516	suppressible
S	fbgn0003310	edl	fbgn0023214	enhanceable
N	fbgn0004647	Egfr	fbgn0003731	enhanceable
CycE	fbgn0010382	btl	fbgn0285896	suppressible
mor	fbgn0002783	Bap60	fbgn0025463	enhanceable
Nsf2	fbgn0266464	GS5036	fbgn0086290	suppressible
RacGAP84C	fbgn0045843	cpo	fbgn0263995	enhanceable
Jra|kay	fbgn0001291|fbgn0001297	cnk	fbgn0286070	suppressible
sc	fbgn0004170	su(Hw)	fbgn0003567	suppressible
fred	fbgn0051774	N	fbgn0004647	suppressible
w|z	fbgn0003996|fbgn0004050	e(y)2	fbgn0000618	enhanceable
Tpi	fbgn0086355	Hsc70-4	fbgn0266599	suppressible
Diap1	fbgn0260635	Usp15-31	fbgn0050421	suppressible
N	fbgn0004647	dsh	fbgn0000499	suppressible
Kr	fbgn0001325	l(3)neo3	fbgn0011447	suppressible
pbl	fbgn0003041	RapGAP1	fbgn0264895	enhanceable
